call_id,channel,segment_id,start_time,end_time,text
en_AU_Health_1591532,channel1,1,0.0,16.28,"Hey there, you've reached Tom and I at 45, the gym that's revolutionizing the workout"
en_AU_Health_1591532,channel1,2,16.28,17.28,trends.
en_AU_Health_1591532,channel1,3,17.28,22.28,How can I help you today?
en_AU_Health_1591532,channel1,4,22.28,24.28,"Great, great."
en_AU_Health_1591532,channel1,5,24.28,27.68,"Yeah, hit me."
en_AU_Health_1591532,channel1,6,27.68,29.96,"Tell me what's up, Laura."
en_AU_Health_1591532,channel1,7,29.96,48.28,"Yeah, yeah, nice, nice, yeah, we definitely do things a little bit differently here at"
en_AU_Health_1591532,channel1,8,48.28,49.28,F45.
en_AU_Health_1591532,channel1,9,49.28,54.68,"I'm based at the Winter Branch and let me tell you, ever since I started working out"
en_AU_Health_1591532,channel1,10,54.68,57.72,"at F45, it has led me into being head trainer."
en_AU_Health_1591532,channel1,11,58.16,61.68,"So congratulations for later, but it is life changing."
en_AU_Health_1591532,channel1,12,61.68,65.16,It is a gym that is totally different to every other one you've joined so far.
en_AU_Health_1591532,channel1,13,65.16,69.84,"What we really pride ourselves on is working out, but with a difference."
en_AU_Health_1591532,channel1,14,69.84,74.44,"So what I mean by that is you come in, all the equipment is already set up for you,"
en_AU_Health_1591532,channel1,15,74.44,77.16,and we work on a little thing called a second route.
en_AU_Health_1591532,channel1,16,77.16,80.64,But we call that the F45 pump sesh.
en_AU_Health_1591532,channel1,17,80.64,86.68,"So every 60 seconds, you'll move around to different sections within the gym."
en_AU_Health_1591532,channel1,18,86.72,88.08,And there's the trainers there.
en_AU_Health_1591532,channel1,19,88.08,90.36,Do you really help you make sure that you're working out?
en_AU_Health_1591532,channel1,20,90.36,93.48,"It's like a personal trainer, but not two hands on it in your face, if you know"
en_AU_Health_1591532,channel1,21,93.48,94.48,what I think.
en_AU_Health_1591532,channel1,22,94.48,119.6,"If I didn't know better, I would say you are already a F45 member."
en_AU_Health_1591532,channel1,23,119.6,120.6,Fingers crossed.
en_AU_Health_1591532,channel1,24,120.6,122.0,We'll see you then soon.
en_AU_Health_1591532,channel1,25,122.0,123.0,Yeah.
en_AU_Health_1591532,channel1,26,123.0,131.68,"So what we do, people do call it fit stop as another name, but effectively you do a 60"
en_AU_Health_1591532,channel1,27,131.68,138.72,"second cardio pump followed by a weight session, and that alternates for 45 minutes."
en_AU_Health_1591532,channel1,28,138.72,142.04,"And just to keep things fresh, just to keep things a little bit different so you're"
